src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,DATA
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,DATA
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,DATA
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,DATA
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,DATA
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,DATA
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
10.8.8.138,208.117.251.116,56641,443,tcp,0x00,0x40,52,youtube,stream,vpn,TCP
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
208.117.251.116,10.8.8.138,443,56641,tcp,0x48,0x40,1360,youtube,stream,vpn,TLS
